【大梁】
符号名：断面,符号名,共通符号名,階数,断面位置,断面,ｺﾝｸﾘｰﾄ:ｂ×Ｄ,主筋:上端,主筋:下端,主筋:材料:上端,主筋:材料:下端,かぶり・あき:上端mm,かぶり・あき:下端mm,あばら筋:　,あばら筋:材料
4G4:右端,5G4,G4,5層～3層,右端,,700×900(Fc36),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
5G4:右端,5G4,G4,5層～3層,右端,,700×900(Fc36),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
3G5:全断面,5G5,G5,5層～3層,全断面,,700×900(Fc36),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@100,SPR685
4G5:全断面,5G5,G5,5層～3層,全断面,,700×900(Fc36),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@100,SPR685
5G5:全断面,5G5,G5,5層～3層,全断面,,700×900(Fc36),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@100,SPR685
2G4:左端,2G4,G4,2層,左端,,700×900(Fc36),6/4-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
2G4:中央,2G4,G4,2層,中央,,700×900(Fc36),6-D35,6-D35,SD390,SD390,50,50,4-TA13@150,SPR685
2G4:右端,2G4,G4,2層,右端,,700×900(Fc36),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
2G5:全断面,2G5,G5,2層,全断面,,700×900(Fc36),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@100,SPR685
RG6:左端,RG6,G6,R層,左端,,500×800(Fc24),4/2-D25,4-D25,SD345,SD345,50/37.5,50,2-D13@150,SD295A
RG6:中央,RG6,G6,R層,中央,,500×800(Fc24),4-D25,4-D25,SD345,SD345,50,50,2-D13@150,SD295A
