【大梁】
符号名：断面,符号名,共通符号名,階数,断面位置,断面,ｺﾝｸﾘｰﾄ:ｂ×Ｄ,ｺﾝｸﾘｰﾄ:荷重剛性用,主筋:上端,主筋:下端,主筋:材料:上端,主筋:材料:下端,かぶり・あき:上端mm,かぶり・あき:下端mm,あばら筋:　,あばら筋:材料
10C1,10C1,C1,10F階,,800×700(Fc24),6-D22,"2-D22,2-D19",SD345,50,2-D13@100,2-D13@100,SD295A
10C2,10C2,C2,10F階,,1000×1500(Fc24),11-D22,7-D22,SD345,50,3-D13@100,2-D13@100,SD295A
10C3,10C3,C3,10F階,,1000×700(Fc24),6-D22,"2-D22,3-D19",SD345,50,2-D13@100,2-D13@100,SD295A
10C4,10C4,C4,10F階,,800×700(Fc24),6-D22,"2-D22,2-D19",SD345,50,2-D13@100,2-D13@100,SD295A
10C5,10C5,C5,10F階,,800×700(Fc24),6-D22,"2-D22,2-D19",SD345,50,2-D13@100,2-D13@100,SD295A
9C1,9C1,C1,9F階,,800×700(Fc24),6-D25,"2-D25,2-D19",SD345,50,2-D13@100,2-D13@100,SD295A
9C2,9C2,C2,9F階,,1000×1500(Fc24),11-D25,"2-D25,5-D22",SD345,50,3-D13@100,2-D13@100,SD295A
9C3,9C3,C3,9F階,,1000×700(Fc24),6-D25,"2-D25,3-D19",SD345,50,2-D13@100,2-D13@100,SD295A
9C4,9C4,C4,9F階,,800×700(Fc24),6-D25,"2-D25,2-D19",SD345,50,2-D13@100,2-D13@100,SD295A
9C5,9C5,C5,9F階,,800×700(Fc24),6-D25,"2-D25,2-D19",SD345,50,3-D13@100,2-D13@100,SD295A
8C1,8C1,C1,8F階,,800×800(Fc27),6-D25,"2-D25,2-D19",SD345,50,2-D13@100,2-D13@100,SD295A
8C2,8C2,C2,8F階,,1000×1500(Fc27),11-D25,"2-D25,5-D22",SD345,50,3-D13@100,2-D13@100,SD295A
8C3,8C3,C3,8F階,,1000×700(Fc27),6-D25,"2-D25,3-D19",SD345,50,2-D13@100,2-D13@100,SD295A
